# T.32 Role Classification Matrix — full enumeration (generated)
# axes: stat | reach | durability | playstyle | speed | intent  =>  role_code  =>  role
# total combos: 1512

stat   reach  durability playstyle speed   intent  | role_code                                    | role
str    ranged squishy    ability   blazing hybrid  | str-ranged-squishy-ability-blazing           | mage
str    ranged hybrid     auto      moloch  damage  | str-ranged-auto-moloch-damage                | marksman
str    ranged hybrid     auto      moloch  utility | str-ranged-auto-moloch-utility               | support
str    ranged hybrid     auto      moloch  hybrid  | str-ranged-auto-moloch                       | marksman
str    ranged hybrid     auto      leaden  damage  | str-ranged-auto-leaden-damage                | marksman
str    ranged hybrid     auto      leaden  utility | str-ranged-auto-leaden-utility               | support
str    ranged hybrid     auto      leaden  hybrid  | str-ranged-auto-leaden                       | marksman
str    ranged hybrid     auto      heavy   damage  | str-ranged-auto-heavy-damage                 | marksman
str    ranged hybrid     auto      heavy   utility | str-ranged-auto-heavy-utility                | support
str    ranged hybrid     auto      heavy   hybrid  | str-ranged-auto-heavy                        | marksman
str    ranged hybrid     auto      hybrid  damage  | str-ranged-auto-damage                       | marksman
str    ranged hybrid     auto      hybrid  utility | str-ranged-auto-utility                      | support
str    ranged hybrid     auto      hybrid  hybrid  | str-ranged-auto                              | marksman
str    ranged hybrid     auto      light   damage  | str-ranged-auto-light-damage                 | marksman
str    ranged hybrid     auto      light   utility | str-ranged-auto-light-utility                | support
str    ranged hybrid     auto      light   hybrid  | str-ranged-auto-light                        | marksman
str    ranged hybrid     auto      swift   damage  | str-ranged-auto-swift-damage                 | marksman
str    ranged hybrid     auto      swift   utility | str-ranged-auto-swift-utility                | support
str    ranged hybrid     auto      swift   hybrid  | str-ranged-auto-swift                        | marksman
str    ranged hybrid     auto      blazing damage  | str-ranged-auto-blazing-damage               | marksman
str    ranged hybrid     auto      blazing utility | str-ranged-auto-blazing-utility              | support
str    ranged hybrid     auto      blazing hybrid  | str-ranged-auto-blazing                      | marksman
str    ranged hybrid     hybrid    moloch  damage  | str-ranged-moloch-damage                     | spellslinger
str    ranged hybrid     hybrid    moloch  utility | str-ranged-moloch-utility                    | support
str    ranged hybrid     hybrid    moloch  hybrid  | str-ranged-moloch                            | marksman
str    ranged hybrid     hybrid    leaden  damage  | str-ranged-leaden-damage                     | spellslinger
str    ranged hybrid     hybrid    leaden  utility | str-ranged-leaden-utility                    | support
str    ranged hybrid     hybrid    leaden  hybrid  | str-ranged-leaden                            | marksman
str    ranged hybrid     hybrid    heavy   damage  | str-ranged-heavy-damage                      | spellslinger
str    ranged hybrid     hybrid    heavy   utility | str-ranged-heavy-utility                     | support
str    ranged hybrid     hybrid    heavy   hybrid  | str-ranged-heavy                             | marksman
str    ranged hybrid     hybrid    hybrid  damage  | str-ranged-damage                            | spellslinger
str    ranged hybrid     hybrid    hybrid  utility | str-ranged-utility                           | support
str    ranged hybrid     hybrid    hybrid  hybrid  | str-ranged                                   | marksman
str    ranged hybrid     hybrid    light   damage  | str-ranged-light-damage                      | spellslinger
str    ranged hybrid     hybrid    light   utility | str-ranged-light-utility                     | support
str    ranged hybrid     hybrid    light   hybrid  | str-ranged-light                             | marksman
str    ranged hybrid     hybrid    swift   damage  | str-ranged-swift-damage                      | spellslinger
str    ranged hybrid     hybrid    swift   utility | str-ranged-swift-utility                     | support
str    ranged hybrid     hybrid    swift   hybrid  | str-ranged-swift                             | marksman
str    ranged hybrid     hybrid    blazing damage  | str-ranged-blazing-damage                    | spellslinger
str    ranged hybrid     hybrid    blazing utility | str-ranged-blazing-utility                   | support
str    ranged hybrid     hybrid    blazing hybrid  | str-ranged-blazing                           | marksman
str    ranged hybrid     ability   moloch  damage  | str-ranged-ability-moloch-damage             | mage
str    ranged hybrid     ability   moloch  utility | str-ranged-ability-moloch-utility            | support
str    ranged hybrid     ability   moloch  hybrid  | str-ranged-ability-moloch                    | mage
str    ranged hybrid     ability   leaden  damage  | str-ranged-ability-leaden-damage             | mage
str    ranged hybrid     ability   leaden  utility | str-ranged-ability-leaden-utility            | support
str    ranged hybrid     ability   leaden  hybrid  | str-ranged-ability-leaden                    | mage
str    ranged hybrid     ability   heavy   damage  | str-ranged-ability-heavy-damage              | mage
str    ranged hybrid     ability   heavy   utility | str-ranged-ability-heavy-utility             | support
str    ranged hybrid     ability   heavy   hybrid  | str-ranged-ability-heavy                     | mage
str    ranged hybrid     ability   hybrid  damage  | str-ranged-ability-damage                    | mage
str    ranged hybrid     ability   hybrid  utility | str-ranged-ability-utility                   | support
str    ranged hybrid     ability   hybrid  hybrid  | str-ranged-ability                           | mage
str    ranged hybrid     ability   light   damage  | str-ranged-ability-light-damage              | mage
str    ranged hybrid     ability   light   utility | str-ranged-ability-light-utility             | support
str    ranged hybrid     ability   light   hybrid  | str-ranged-ability-light                     | mage
str    ranged hybrid     ability   swift   damage  | str-ranged-ability-swift-damage              | mage
str    ranged hybrid     ability   swift   utility | str-ranged-ability-swift-utility             | support
str    ranged hybrid     ability   swift   hybrid  | str-ranged-ability-swift                     | mage
str    ranged hybrid     ability   blazing damage  | str-ranged-ability-blazing-damage            | mage
str    ranged hybrid     ability   blazing utility | str-ranged-ability-blazing-utility           | support
str    ranged hybrid     ability   blazing hybrid  | str-ranged-ability-blazing                   | mage
str    ranged tanky_hp   auto      moloch  damage  | str-ranged-tanky_hp-auto-moloch-damage       | bruiser
str    ranged tanky_hp   auto      moloch  utility | str-ranged-tanky_hp-auto-moloch-utility      | tank
str    ranged tanky_hp   auto      moloch  hybrid  | str-ranged-tanky_hp-auto-moloch              | tank
str    ranged tanky_hp   auto      leaden  damage  | str-ranged-tanky_hp-auto-leaden-damage       | bruiser
str    ranged tanky_hp   auto      leaden  utility | str-ranged-tanky_hp-auto-leaden-utility      | tank
str    ranged tanky_hp   auto      leaden  hybrid  | str-ranged-tanky_hp-auto-leaden              | tank
str    ranged tanky_hp   auto      heavy   damage  | str-ranged-tanky_hp-auto-heavy-damage        | bruiser
str    ranged tanky_hp   auto      heavy   utility | str-ranged-tanky_hp-auto-heavy-utility       | tank
str    ranged tanky_hp   auto      heavy   hybrid  | str-ranged-tanky_hp-auto-heavy               | tank
str    ranged tanky_hp   auto      hybrid  damage  | str-ranged-tanky_hp-auto-damage              | bruiser
str    ranged tanky_hp   auto      hybrid  utility | str-ranged-tanky_hp-auto-utility             | tank
str    ranged tanky_hp   auto      hybrid  hybrid  | str-ranged-tanky_hp-auto                     | tank
str    ranged tanky_hp   auto      light   damage  | str-ranged-tanky_hp-auto-light-damage        | bruiser
str    ranged tanky_hp   auto      light   utility | str-ranged-tanky_hp-auto-light-utility       | tank
str    ranged tanky_hp   auto      light   hybrid  | str-ranged-tanky_hp-auto-light               | tank
str    ranged tanky_hp   auto      swift   damage  | str-ranged-tanky_hp-auto-swift-damage        | bruiser
str    ranged tanky_hp   auto      swift   utility | str-ranged-tanky_hp-auto-swift-utility       | tank
str    ranged tanky_hp   auto      swift   hybrid  | str-ranged-tanky_hp-auto-swift               | tank
str    ranged tanky_hp   auto      blazing damage  | str-ranged-tanky_hp-auto-blazing-damage      | bruiser
str    ranged tanky_hp   auto      blazing utility | str-ranged-tanky_hp-auto-blazing-utility     | tank
str    ranged tanky_hp   auto      blazing hybrid  | str-ranged-tanky_hp-auto-blazing             | tank
str    ranged tanky_hp   hybrid    moloch  damage  | str-ranged-tanky_hp-moloch-damage            | bruiser
str    ranged tanky_hp   hybrid    moloch  utility | str-ranged-tanky_hp-moloch-utility           | tank
str    ranged tanky_hp   hybrid    moloch  hybrid  | str-ranged-tanky_hp-moloch                   | tank
str    ranged tanky_hp   hybrid    leaden  damage  | str-ranged-tanky_hp-leaden-damage            | bruiser
str    ranged tanky_hp   hybrid    leaden  utility | str-ranged-tanky_hp-leaden-utility           | tank
str    ranged tanky_hp   hybrid    leaden  hybrid  | str-ranged-tanky_hp-leaden                   | tank
str    ranged tanky_hp   hybrid    heavy   damage  | str-ranged-tanky_hp-heavy-damage             | bruiser
str    ranged tanky_hp   hybrid    heavy   utility | str-ranged-tanky_hp-heavy-utility            | tank
str    ranged tanky_hp   hybrid    heavy   hybrid  | str-ranged-tanky_hp-heavy                    | tank
str    ranged tanky_hp   hybrid    hybrid  damage  | str-ranged-tanky_hp-damage                   | bruiser
str    ranged tanky_hp   hybrid    hybrid  utility | str-ranged-tanky_hp-utility                  | tank
str    ranged tanky_hp   hybrid    hybrid  hybrid  | str-ranged-tanky_hp                          | tank
str    ranged tanky_hp   hybrid    light   damage  | str-ranged-tanky_hp-light-damage             | bruiser
str    ranged tanky_hp   hybrid    light   utility | str-ranged-tanky_hp-light-utility            | tank
str    ranged tanky_hp   hybrid    light   hybrid  | str-ranged-tanky_hp-light                    | tank
str    ranged tanky_hp   hybrid    swift   damage  | str-ranged-tanky_hp-swift-damage             | bruiser
str    ranged tanky_hp   hybrid    swift   utility | str-ranged-tanky_hp-swift-utility            | tank
str    ranged tanky_hp   hybrid    swift   hybrid  | str-ranged-tanky_hp-swift                    | tank
str    ranged tanky_hp   hybrid    blazing damage  | str-ranged-tanky_hp-blazing-damage           | bruiser
str    ranged tanky_hp   hybrid    blazing utility | str-ranged-tanky_hp-blazing-utility          | tank
str    ranged tanky_hp   hybrid    blazing hybrid  | str-ranged-tanky_hp-blazing                  | tank
str    ranged tanky_hp   ability   moloch  damage  | str-ranged-tanky_hp-ability-moloch-damage    | bruiser
str    ranged tanky_hp   ability   moloch  utility | str-ranged-tanky_hp-ability-moloch-utility   | tank
str    ranged tanky_hp   ability   moloch  hybrid  | str-ranged-tanky_hp-ability-moloch           | tank
str    ranged tanky_hp   ability   leaden  damage  | str-ranged-tanky_hp-ability-leaden-damage    | bruiser
str    ranged tanky_hp   ability   leaden  utility | str-ranged-tanky_hp-ability-leaden-utility   | tank
str    ranged tanky_hp   ability   leaden  hybrid  | str-ranged-tanky_hp-ability-leaden           | tank
str    ranged tanky_hp   ability   heavy   damage  | str-ranged-tanky_hp-ability-heavy-damage     | bruiser
str    ranged tanky_hp   ability   heavy   utility | str-ranged-tanky_hp-ability-heavy-utility    | tank
str    ranged tanky_hp   ability   heavy   hybrid  | str-ranged-tanky_hp-ability-heavy            | tank
str    ranged tanky_hp   ability   hybrid  damage  | str-ranged-tanky_hp-ability-damage           | bruiser
str    ranged tanky_hp   ability   hybrid  utility | str-ranged-tanky_hp-ability-utility          | tank
str    ranged tanky_hp   ability   hybrid  hybrid  | str-ranged-tanky_hp-ability                  | tank
str    ranged tanky_hp   ability   light   damage  | str-ranged-tanky_hp-ability-light-damage     | bruiser
str    ranged tanky_hp   ability   light   utility | str-ranged-tanky_hp-ability-light-utility    | tank
str    ranged tanky_hp   ability   light   hybrid  | str-ranged-tanky_hp-ability-light            | tank
str    ranged tanky_hp   ability   swift   damage  | str-ranged-tanky_hp-ability-swift-damage     | bruiser
str    ranged tanky_hp   ability   swift   utility | str-ranged-tanky_hp-ability-swift-utility    | tank
str    ranged tanky_hp   ability   swift   hybrid  | str-ranged-tanky_hp-ability-swift            | tank
str    ranged tanky_hp   ability   blazing damage  | str-ranged-tanky_hp-ability-blazing-damage   | bruiser
str    ranged tanky_hp   ability   blazing utility | str-ranged-tanky_hp-ability-blazing-utility  | tank
str    ranged tanky_hp   ability   blazing hybrid  | str-ranged-tanky_hp-ability-blazing          | tank
str    ranged tanky_arm  auto      moloch  damage  | str-ranged-tanky_arm-auto-moloch-damage      | bruiser
str    ranged tanky_arm  auto      moloch  utility | str-ranged-tanky_arm-auto-moloch-utility     | tank
str    ranged tanky_arm  auto      moloch  hybrid  | str-ranged-tanky_arm-auto-moloch             | tank
str    ranged tanky_arm  auto      leaden  damage  | str-ranged-tanky_arm-auto-leaden-damage      | bruiser
str    ranged tanky_arm  auto      leaden  utility | str-ranged-tanky_arm-auto-leaden-utility     | tank
str    ranged tanky_arm  auto      leaden  hybrid  | str-ranged-tanky_arm-auto-leaden             | tank
str    ranged tanky_arm  auto      heavy   damage  | str-ranged-tanky_arm-auto-heavy-damage       | bruiser
str    ranged tanky_arm  auto      heavy   utility | str-ranged-tanky_arm-auto-heavy-utility      | tank
str    ranged tanky_arm  auto      heavy   hybrid  | str-ranged-tanky_arm-auto-heavy              | tank
str    ranged tanky_arm  auto      hybrid  damage  | str-ranged-tanky_arm-auto-damage             | bruiser
str    ranged tanky_arm  auto      hybrid  utility | str-ranged-tanky_arm-auto-utility            | tank
str    ranged tanky_arm  auto      hybrid  hybrid  | str-ranged-tanky_arm-auto                    | tank
str    ranged tanky_arm  auto      light   damage  | str-ranged-tanky_arm-auto-light-damage       | bruiser
str    ranged tanky_arm  auto      light   utility | str-ranged-tanky_arm-auto-light-utility      | tank
str    ranged tanky_arm  auto      light   hybrid  | str-ranged-tanky_arm-auto-light              | tank
str    ranged tanky_arm  auto      swift   damage  | str-ranged-tanky_arm-auto-swift-damage       | bruiser
str    ranged tanky_arm  auto      swift   utility | str-ranged-tanky_arm-auto-swift-utility      | tank
str    ranged tanky_arm  auto      swift   hybrid  | str-ranged-tanky_arm-auto-swift              | tank
str    ranged tanky_arm  auto      blazing damage  | str-ranged-tanky_arm-auto-blazing-damage     | bruiser
str    ranged tanky_arm  auto      blazing utility | str-ranged-tanky_arm-auto-blazing-utility    | tank
str    ranged tanky_arm  auto      blazing hybrid  | str-ranged-tanky_arm-auto-blazing            | tank
str    ranged tanky_arm  hybrid    moloch  damage  | str-ranged-tanky_arm-moloch-damage           | bruiser
str    ranged tanky_arm  hybrid    moloch  utility | str-ranged-tanky_arm-moloch-utility          | tank
str    ranged tanky_arm  hybrid    moloch  hybrid  | str-ranged-tanky_arm-moloch                  | tank
str    ranged tanky_arm  hybrid    leaden  damage  | str-ranged-tanky_arm-leaden-damage           | bruiser
str    ranged tanky_arm  hybrid    leaden  utility | str-ranged-tanky_arm-leaden-utility          | tank
str    ranged tanky_arm  hybrid    leaden  hybrid  | str-ranged-tanky_arm-leaden                  | tank
str    ranged tanky_arm  hybrid    heavy   damage  | str-ranged-tanky_arm-heavy-damage            | bruiser
str    ranged tanky_arm  hybrid    heavy   utility | str-ranged-tanky_arm-heavy-utility           | tank
str    ranged tanky_arm  hybrid    heavy   hybrid  | str-ranged-tanky_arm-heavy                   | tank
str    ranged tanky_arm  hybrid    hybrid  damage  | str-ranged-tanky_arm-damage                  | bruiser
str    ranged tanky_arm  hybrid    hybrid  utility | str-ranged-tanky_arm-utility                 | tank
str    ranged tanky_arm  hybrid    hybrid  hybrid  | str-ranged-tanky_arm                         | tank
str    ranged tanky_arm  hybrid    light   damage  | str-ranged-tanky_arm-light-damage            | bruiser
str    ranged tanky_arm  hybrid    light   utility | str-ranged-tanky_arm-light-utility           | tank
str    ranged tanky_arm  hybrid    light   hybrid  | str-ranged-tanky_arm-light                   | tank
str    ranged tanky_arm  hybrid    swift   damage  | str-ranged-tanky_arm-swift-damage            | bruiser
str    ranged tanky_arm  hybrid    swift   utility | str-ranged-tanky_arm-swift-utility           | tank
str    ranged tanky_arm  hybrid    swift   hybrid  | str-ranged-tanky_arm-swift                   | tank
str    ranged tanky_arm  hybrid    blazing damage  | str-ranged-tanky_arm-blazing-damage          | bruiser
str    ranged tanky_arm  hybrid    blazing utility | str-ranged-tanky_arm-blazing-utility         | tank
str    ranged tanky_arm  hybrid    blazing hybrid  | str-ranged-tanky_arm-blazing                 | tank
str    ranged tanky_arm  ability   moloch  damage  | str-ranged-tanky_arm-ability-moloch-damage   | bruiser
str    ranged tanky_arm  ability   moloch  utility | str-ranged-tanky_arm-ability-moloch-utility  | tank
str    ranged tanky_arm  ability   moloch  hybrid  | str-ranged-tanky_arm-ability-moloch          | tank
str    ranged tanky_arm  ability   leaden  damage  | str-ranged-tanky_arm-ability-leaden-damage   | bruiser
str    ranged tanky_arm  ability   leaden  utility | str-ranged-tanky_arm-ability-leaden-utility  | tank
str    ranged tanky_arm  ability   leaden  hybrid  | str-ranged-tanky_arm-ability-leaden          | tank
str    ranged tanky_arm  ability   heavy   damage  | str-ranged-tanky_arm-ability-heavy-damage    | bruiser
str    ranged tanky_arm  ability   heavy   utility | str-ranged-tanky_arm-ability-heavy-utility   | tank
str    ranged tanky_arm  ability   heavy   hybrid  | str-ranged-tanky_arm-ability-heavy           | tank
str    ranged tanky_arm  ability   hybrid  damage  | str-ranged-tanky_arm-ability-damage          | bruiser
str    ranged tanky_arm  ability   hybrid  utility | str-ranged-tanky_arm-ability-utility         | tank
str    ranged tanky_arm  ability   hybrid  hybrid  | str-ranged-tanky_arm-ability                 | tank
str    ranged tanky_arm  ability   light   damage  | str-ranged-tanky_arm-ability-light-damage    | bruiser
str    ranged tanky_arm  ability   light   utility | str-ranged-tanky_arm-ability-light-utility   | tank
str    ranged tanky_arm  ability   light   hybrid  | str-ranged-tanky_arm-ability-light           | tank
str    ranged tanky_arm  ability   swift   damage  | str-ranged-tanky_arm-ability-swift-damage    | bruiser
str    ranged tanky_arm  ability   swift   utility | str-ranged-tanky_arm-ability-swift-utility   | tank
str    ranged tanky_arm  ability   swift   hybrid  | str-ranged-tanky_arm-ability-swift           | tank
str    ranged tanky_arm  ability   blazing damage  | str-ranged-tanky_arm-ability-blazing-damage  | bruiser
str    ranged tanky_arm  ability   blazing utility | str-ranged-tanky_arm-ability-blazing-utility | tank
str    ranged tanky_arm  ability   blazing hybrid  | str-ranged-tanky_arm-ability-blazing         | tank
int    melee  squishy    auto      moloch  damage  | int-melee-squishy-auto-moloch-damage         | swashbuckler
int    melee  squishy    auto      moloch  utility | int-melee-squishy-auto-moloch-utility        | support
int    melee  squishy    auto      moloch  hybrid  | int-melee-squishy-auto-moloch                | swashbuckler
int    melee  squishy    auto      leaden  damage  | int-melee-squishy-auto-leaden-damage         | swashbuckler
int    melee  squishy    auto      leaden  utility | int-melee-squishy-auto-leaden-utility        | support
int    melee  squishy    auto      leaden  hybrid  | int-melee-squishy-auto-leaden                | swashbuckler
int    melee  squishy    auto      heavy   damage  | int-melee-squishy-auto-heavy-damage          | swashbuckler
int    melee  squishy    auto      heavy   utility | int-melee-squishy-auto-heavy-utility         | support
int    melee  squishy    auto      heavy   hybrid  | int-melee-squishy-auto-heavy                 | swashbuckler
int    melee  squishy    auto      hybrid  damage  | int-melee-squishy-auto-damage                | swashbuckler
int    melee  squishy    auto      hybrid  utility | int-melee-squishy-auto-utility               | support
int    melee  squishy    auto      hybrid  hybrid  | int-melee-squishy-auto                       | swashbuckler
int    melee  squishy    auto      light   damage  | int-melee-squishy-auto-light-damage          | swashbuckler
int    melee  squishy    auto      light   utility | int-melee-squishy-auto-light-utility         | support
int    melee  squishy    auto      light   hybrid  | int-melee-squishy-auto-light                 | swashbuckler
int    melee  squishy    auto      swift   damage  | int-melee-squishy-auto-swift-damage          | swashbuckler
int    melee  squishy    auto      swift   utility | int-melee-squishy-auto-swift-utility         | support
int    melee  squishy    auto      swift   hybrid  | int-melee-squishy-auto-swift                 | swashbuckler
int    melee  squishy    auto      blazing damage  | int-melee-squishy-auto-blazing-damage        | swashbuckler
int    melee  squishy    auto      blazing utility | int-melee-squishy-auto-blazing-utility       | support
int    melee  squishy    auto      blazing hybrid  | int-melee-squishy-auto-blazing               | swashbuckler
int    melee  squishy    hybrid    moloch  damage  | int-melee-squishy-moloch-damage              | swashbuckler
int    melee  squishy    hybrid    moloch  utility | int-melee-squishy-moloch-utility             | support
int    melee  squishy    hybrid    moloch  hybrid  | int-melee-squishy-moloch                     | swashbuckler
int    melee  squishy    hybrid    leaden  damage  | int-melee-squishy-leaden-damage              | swashbuckler
int    melee  squishy    hybrid    leaden  utility | int-melee-squishy-leaden-utility             | support
int    melee  squishy    hybrid    leaden  hybrid  | int-melee-squishy-leaden                     | swashbuckler
int    melee  squishy    hybrid    heavy   damage  | int-melee-squishy-heavy-damage               | swashbuckler
int    melee  squishy    hybrid    heavy   utility | int-melee-squishy-heavy-utility              | support
int    melee  squishy    hybrid    heavy   hybrid  | int-melee-squishy-heavy                      | swashbuckler
int    melee  squishy    hybrid    hybrid  damage  | int-melee-squishy-damage                     | swashbuckler
int    melee  squishy    hybrid    hybrid  utility | int-melee-squishy-utility                    | support
int    melee  squishy    hybrid    hybrid  hybrid  | int-melee-squishy                            | swashbuckler
int    melee  squishy    hybrid    light   damage  | int-melee-squishy-light-damage               | swashbuckler
int    melee  squishy    hybrid    light   utility | int-melee-squishy-light-utility              | support
int    melee  squishy    hybrid    light   hybrid  | int-melee-squishy-light                      | swashbuckler
int    melee  squishy    hybrid    swift   damage  | int-melee-squishy-swift-damage               | swashbuckler
int    melee  squishy    hybrid    swift   utility | int-melee-squishy-swift-utility              | support
int    melee  squishy    hybrid    swift   hybrid  | int-melee-squishy-swift                      | swashbuckler
int    melee  squishy    hybrid    blazing damage  | int-melee-squishy-blazing-damage             | swashbuckler
int    melee  squishy    hybrid    blazing utility | int-melee-squishy-blazing-utility            | support
int    melee  squishy    hybrid    blazing hybrid  | int-melee-squishy-blazing                    | swashbuckler
int    melee  squishy    ability   moloch  damage  | int-melee-squishy-ability-moloch-damage      | assassin
int    melee  squishy    ability   moloch  utility | int-melee-squishy-ability-moloch-utility     | support
int    melee  squishy    ability   moloch  hybrid  | int-melee-squishy-ability-moloch             | assassin
int    melee  squishy    ability   leaden  damage  | int-melee-squishy-ability-leaden-damage      | assassin
int    melee  squishy    ability   leaden  utility | int-melee-squishy-ability-leaden-utility     | support
int    melee  squishy    ability   leaden  hybrid  | int-melee-squishy-ability-leaden             | assassin
int    melee  squishy    ability   heavy   damage  | int-melee-squishy-ability-heavy-damage       | assassin
int    melee  squishy    ability   heavy   utility | int-melee-squishy-ability-heavy-utility      | support
int    melee  squishy    ability   heavy   hybrid  | int-melee-squishy-ability-heavy              | assassin
int    melee  squishy    ability   hybrid  damage  | int-melee-squishy-ability-damage             | assassin
int    melee  squishy    ability   hybrid  utility | int-melee-squishy-ability-utility            | support
int    melee  squishy    ability   hybrid  hybrid  | int-melee-squishy-ability                    | assassin
int    melee  squishy    ability   light   damage  | int-melee-squishy-ability-light-damage       | assassin
int    melee  squishy    ability   light   utility | int-melee-squishy-ability-light-utility      | support
int    melee  squishy    ability   light   hybrid  | int-melee-squishy-ability-light              | assassin
int    melee  squishy    ability   swift   damage  | int-melee-squishy-ability-swift-damage       | assassin
int    melee  squishy    ability   swift   utility | int-melee-squishy-ability-swift-utility      | support
int    melee  squishy    ability   swift   hybrid  | int-melee-squishy-ability-swift              | assassin
int    melee  squishy    ability   blazing damage  | int-melee-squishy-ability-blazing-damage     | assassin
int    melee  squishy    ability   blazing utility | int-melee-squishy-ability-blazing-utility    | support
int    melee  squishy    ability   blazing hybrid  | int-melee-squishy-ability-blazing            | assassin
int    melee  hybrid     auto      moloch  damage  | int-melee-auto-moloch-damage                 | swashbuckler
int    melee  hybrid     auto      moloch  utility | int-melee-auto-moloch-utility                | support
int    melee  hybrid     auto      moloch  hybrid  | int-melee-auto-moloch                        | swashbuckler
int    melee  hybrid     auto      leaden  damage  | int-melee-auto-leaden-damage                 | swashbuckler
int    melee  hybrid     auto      leaden  utility | int-melee-auto-leaden-utility                | support
int    melee  hybrid     auto      leaden  hybrid  | int-melee-auto-leaden                        | swashbuckler
int    melee  hybrid     auto      heavy   damage  | int-melee-auto-heavy-damage                  | swashbuckler
int    melee  hybrid     auto      heavy   utility | int-melee-auto-heavy-utility                 | support
int    melee  hybrid     auto      heavy   hybrid  | int-melee-auto-heavy                         | swashbuckler
int    melee  hybrid     auto      hybrid  damage  | int-melee-auto-damage                        | swashbuckler
int    melee  hybrid     auto      hybrid  utility | int-melee-auto-utility                       | support
int    melee  hybrid     auto      hybrid  hybrid  | int-melee-auto                               | swashbuckler
int    melee  hybrid     auto      light   damage  | int-melee-auto-light-damage                  | swashbuckler
int    melee  hybrid     auto      light   utility | int-melee-auto-light-utility                 | support
int    melee  hybrid     auto      light   hybrid  | int-melee-auto-light                         | swashbuckler
int    melee  hybrid     auto      swift   damage  | int-melee-auto-swift-damage                  | swashbuckler
int    melee  hybrid     auto      swift   utility | int-melee-auto-swift-utility                 | support
int    melee  hybrid     auto      swift   hybrid  | int-melee-auto-swift                         | swashbuckler
int    melee  hybrid     auto      blazing damage  | int-melee-auto-blazing-damage                | swashbuckler
int    melee  hybrid     auto      blazing utility | int-melee-auto-blazing-utility               | support
int    melee  hybrid     auto      blazing hybrid  | int-melee-auto-blazing                       | swashbuckler
int    melee  hybrid     hybrid    moloch  damage  | int-melee-moloch-damage                      | swashbuckler
int    melee  hybrid     hybrid    moloch  utility | int-melee-moloch-utility                     | support
int    melee  hybrid     hybrid    moloch  hybrid  | int-melee-moloch                             | swashbuckler
int    melee  hybrid     hybrid    leaden  damage  | int-melee-leaden-damage                      | swashbuckler
int    melee  hybrid     hybrid    leaden  utility | int-melee-leaden-utility                     | support
int    melee  hybrid     hybrid    leaden  hybrid  | int-melee-leaden                             | swashbuckler
int    melee  hybrid     hybrid    heavy   damage  | int-melee-heavy-damage                       | swashbuckler
int    melee  hybrid     hybrid    heavy   utility | int-melee-heavy-utility                      | support
int    melee  hybrid     hybrid    heavy   hybrid  | int-melee-heavy                              | swashbuckler
int    melee  hybrid     hybrid    hybrid  damage  | int-melee-damage                             | swashbuckler
int    melee  hybrid     hybrid    hybrid  utility | int-melee-utility                            | support
int    melee  hybrid     hybrid    hybrid  hybrid  | int-melee                                    | swashbuckler
int    melee  hybrid     hybrid    light   damage  | int-melee-light-damage                       | swashbuckler
int    melee  hybrid     hybrid    light   utility | int-melee-light-utility                      | support
int    melee  hybrid     hybrid    light   hybrid  | int-melee-light                              | swashbuckler
int    melee  hybrid     hybrid    swift   damage  | int-melee-swift-damage                       | swashbuckler
int    melee  hybrid     hybrid    swift   utility | int-melee-swift-utility                      | support
int    melee  hybrid     hybrid    swift   hybrid  | int-melee-swift                              | swashbuckler
int    melee  hybrid     hybrid    blazing damage  | int-melee-blazing-damage                     | swashbuckler
int    melee  hybrid     hybrid    blazing utility | int-melee-blazing-utility                    | support
int    melee  hybrid     hybrid    blazing hybrid  | int-melee-blazing                            | swashbuckler
int    melee  hybrid     ability   moloch  damage  | int-melee-ability-moloch-damage              | assassin
int    melee  hybrid     ability   moloch  utility | int-melee-ability-moloch-utility             | support
int    melee  hybrid     ability   moloch  hybrid  | int-melee-ability-moloch                     | assassin
int    melee  hybrid     ability   leaden  damage  | int-melee-ability-leaden-damage              | assassin
int    melee  hybrid     ability   leaden  utility | int-melee-ability-leaden-utility             | support
int    melee  hybrid     ability   leaden  hybrid  | int-melee-ability-leaden                     | assassin
int    melee  hybrid     ability   heavy   damage  | int-melee-ability-heavy-damage               | assassin
int    melee  hybrid     ability   heavy   utility | int-melee-ability-heavy-utility              | support
int    melee  hybrid     ability   heavy   hybrid  | int-melee-ability-heavy                      | assassin
int    melee  hybrid     ability   hybrid  damage  | int-melee-ability-damage                     | assassin
int    melee  hybrid     ability   hybrid  utility | int-melee-ability-utility                    | support
int    melee  hybrid     ability   hybrid  hybrid  | int-melee-ability                            | assassin
int    melee  hybrid     ability   light   damage  | int-melee-ability-light-damage               | assassin
int    melee  hybrid     ability   light   utility | int-melee-ability-light-utility              | support
int    melee  hybrid     ability   light   hybrid  | int-melee-ability-light                      | assassin
int    melee  hybrid     ability   swift   damage  | int-melee-ability-swift-damage               | assassin
int    melee  hybrid     ability   swift   utility | int-melee-ability-swift-utility              | support
int    melee  hybrid     ability   swift   hybrid  | int-melee-ability-swift                      | assassin
int    melee  hybrid     ability   blazing damage  | int-melee-ability-blazing-damage             | assassin
int    melee  hybrid     ability   blazing utility | int-melee-ability-blazing-utility            | support
int    melee  hybrid     ability   blazing hybrid  | int-melee-ability-blazing                    | assassin
int    melee  tanky_hp   auto      moloch  damage  | int-melee-tanky_hp-auto-moloch-damage        | bruiser
