"piece_id","name","affinity","role","tier","stage","wr_range"
"champ_snowpelt_cub","Snowpelt Cub","snow","warrior",1,"3v3",0.00749999999999995
"enemy_pikeman","Pikeman","clear","warrior",2,"2v2",0.00730000000000003
"enemy_lord_commander","Lord Commander","clear","warrior",7,"2v2",0.0071
"enemy_hollowed_wisp","Hollowed Wisp","mist","assassin",3,"2v2",0.00700000000000001
"champ_coppercrest_stork","Coppercrest Stork","thunder","mage",4,"2v2",0.00679999999999997
"enemy_sergeant_at_arms","Sergeant-at-Arms","clear","bruiser",3,"2v2",0.00660000000000005
"enemy_signal_drummer","Signal Drummer","clear","mage",1,"2v2",0.00660000000000002
"enemy_heavy_knight","Heavy Knight","clear","warrior",4,"3v3",0.00630000000000003
"enemy_drained_stalker","Drained Stalker","mist","mage",4,"3v3",0.00619999999999998
"enemy_hollowed_wisp","Hollowed Wisp","mist","assassin",3,"3v3",0.00600000000000001
"enemy_field_medic","Field Medic","clear","mage",2,"2v2",0.00549999999999995
"champ_sunmane_lion","Sunmane Lion","clear","warrior",6,"2v2",0.00429999999999997
"enemy_grand_marshal","Grand Marshal","clear","warrior",10,"2v2",0.00429999999999997
"enemy_levyman","Levyman","clear","warrior",1,"1v1",0.00420000000000004
"enemy_field_medic","Field Medic","clear","mage",2,"1v1",0.00420000000000001
"enemy_hierarch","Hierarch","clear","mage",8,"1v1",0.00420000000000001
"enemy_signal_drummer","Signal Drummer","clear","mage",1,"1v1",0.0042
"enemy_standard_bearer","Standard Bearer","clear","mage",3,"1v1",0.0042
"champ_goldcrest_lark","Goldcrest Lark","clear","mage",4,"1v1",0.0042
"enemy_steam_engineer","Steam Engineer","clear","mage",4,"1v1",0.0042
"enemy_picket","Picket","clear","marksman",1,"2v2",0.00410000000000005
"champ_wintermoth","Wintermoth","snow","mage",2,"2v2",0.00390000000000001
"enemy_stretcher_hand","Stretcher-Hand","clear","mage",1,"1v1",0
"champ_will_o_fawn","Will-o-Fawn","mist","mage",2,"1v1",0
"enemy_hollowed_wisp","Hollowed Wisp","mist","assassin",3,"1v1",0
"enemy_grand_marshal","Grand Marshal","clear","warrior",10,"1v1",0
