"piece_id","name","affinity","role","tier","level","kind","n_matches","n_pair_games","n_pair_wins","n_team_wins","n_team_draws","n_team_timeouts","mean_duration_ticks","win_rate","expected_wr","wr_delta","expected_power","timeout_rate","own_weather_wr","counter_weather_wr","weather_sensitivity","wd_z"
"champ_storm_eagle","Storm Eagle","thunder","mage",9,1,"champion",60,330,236,35,8,8,7564.8,0.7152,0.8,-0.0848,6.3496,0.1333,0.7273,0.7273,0.1091,-0.637621244572562
"champ_storm_eagle@2","Storm Eagle","thunder","mage",9,2,"champion",150,972,542,66,60,60,10011.9,0.5576,0.6605,-0.1029,12.6992,0.4,0.5648,0.4877,0.1574,-0.812253368629275
"champ_storm_eagle@3","Storm Eagle","thunder","mage",9,3,"champion",114,516,436,99,10,10,7524.1,0.845,0.8256,0.0194,50.7968,0.0877,0.814,0.8837,0.1512,0.367719491709729
"champ_sunmane_lion","Sunmane Lion","clear","warrior",6,1,"champion",522,2688,1205.5,141,142,142,8949.3,0.4485,0.4531,-0.0047,3.1748,0.272,0.4699,0,0.0614,0.0781564561123609
"champ_sunmane_lion@2","Sunmane Lion","clear","warrior",6,2,"champion",294,1560,577.5,90,57,57,8358.9,0.3702,0.4269,-0.0567,6.3496,0.1939,0.3577,0,0.0538,-0.781674795899508
"champ_sunmane_lion@3","Sunmane Lion","clear","warrior",6,3,"champion",120,726,536,73,25,25,8897,0.7383,0.7603,-0.022,25.3984,0.2083,0.7686,0,0.1157,-0.207902787345434
"champ_sunspear_falcon","Sunspear Falcon","clear","marksman",9,1,"champion",126,696,312,35,29,29,8769.7,0.4483,0.3621,0.0862,6.3496,0.2302,0.4224,0,0.0862,1.01221815949914
"champ_sunspear_falcon@2","Sunspear Falcon","clear","marksman",9,2,"champion",486,2772,1711.5,229,144,144,9094.4,0.6174,0.526,0.0915,12.6992,0.2963,0.618,0,0.0325,1.06335353284172
"champ_sunspear_falcon@3","Sunspear Falcon","clear","marksman",9,3,"champion",294,1752,1251,200,52,52,8408.3,0.714,0.6575,0.0565,50.7968,0.1769,0.7072,0,0.0702,0.725667105107743
"champ_tempest_eel","Tempest Eel","thunder","mage",6,1,"champion",234,1140,481.5,78,48,48,8143.1,0.4224,0.4579,-0.0355,3.1748,0.2051,0.4026,0.4421,0.0395,-0.431128208540823
"champ_tempest_eel@2","Tempest Eel","thunder","mage",6,2,"champion",390,1986,980.5,138,111,111,8681.5,0.4937,0.4864,0.0073,6.3496,0.2846,0.4592,0.5242,0.065,0.276579052730485
"champ_tempest_eel@3","Tempest Eel","thunder","mage",6,3,"champion",78,486,276,41,13,13,7936.6,0.5679,0.642,-0.0741,25.3984,0.1667,0.5802,0.5185,0.1358,-1.06938756099579
"champ_thunderclap_gorilla","Thunderclap Gorilla","thunder","warrior",8,1,"champion",246,1392,404,49,44,44,8560.9,0.2902,0.2543,0.0359,5.0397,0.1789,0.3147,0.3103,0.0517,0.227156928624678
"champ_thunderclap_gorilla@2","Thunderclap Gorilla","thunder","warrior",8,2,"champion",312,1818,979,112,110,110,9057.3,0.5385,0.4356,0.1029,10.0794,0.3526,0.5215,0.538,0.0512,0.897292094772822
"champ_thunderclap_gorilla@3","Thunderclap Gorilla","thunder","warrior",8,3,"champion",216,1134,868.5,169,18,18,7466.5,0.7659,0.6508,0.1151,40.3175,0.0833,0.7249,0.7646,0.1005,1.01931670711622
"champ_thunderhide_bison","Thunderhide Bison","thunder","warrior",5,1,"champion",306,1650,947,134,58,58,8955.4,0.5739,0.5491,0.0248,2.5198,0.1895,0.6036,0.5873,0.0527,0.122315951178854
"champ_thunderhide_bison@2","Thunderhide Bison","thunder","warrior",5,2,"champion",198,1200,587.5,66,50,50,9104.9,0.4896,0.505,-0.0154,5.0397,0.2525,0.48,0.485,0.0525,-0.294724137614313
"champ_thunderhide_bison@3","Thunderhide Bison","thunder","warrior",5,3,"champion",174,1020,540.5,56,83,83,10085.4,0.5299,0.6176,-0.0877,20.1587,0.477,0.5647,0.4971,0.0676,-1.04477384954829
"champ_thunderhoof_colt","Thunderhoof Colt","thunder","warrior",2,1,"champion",246,1236,307.5,28,55,55,8158,0.2488,0.199,0.0498,1.2599,0.2236,0.2524,0.2257,0.0777,0.475085857830606
"champ_thunderhoof_colt@2","Thunderhoof Colt","thunder","warrior",2,2,"champion",330,1812,561.5,47,114,114,9458.3,0.3099,0.2748,0.035,2.5198,0.3455,0.3096,0.3096,0.0745,0.256813795665054
"champ_thunderhoof_colt@3","Thunderhoof Colt","thunder","warrior",2,3,"champion",210,1260,678,77,65,65,9699.6,0.5381,0.6143,-0.0762,10.0794,0.3095,0.6143,0.5524,0.1762,-1.38317629303828
"champ_torrent_heron","Torrent Heron","rain","marksman",3,1,"champion",228,1350,770,98,65,65,9802,0.5704,0.4844,0.0859,1.5874,0.2851,0.5444,0.6022,0.0622,0.792294161192629
"champ_torrent_heron@2","Torrent Heron","rain","marksman",3,2,"champion",330,1854,785,91,93,93,9088.6,0.4234,0.5049,-0.0814,3.1748,0.2818,0.432,0.4078,0.0631,-1.09461410651213
"champ_torrent_heron@3","Torrent Heron","rain","marksman",3,3,"champion",174,1080,607.5,89,15,15,7659,0.5625,0.4722,0.0903,12.6992,0.0862,0.5528,0.5889,0.0528,0.841919961419174
"champ_umbra","Umbra, the Mountain's Shadow","cloudy","hybrid",10,1,"champion",186,1086,319.5,43,19,19,7804.8,0.2942,0.337,-0.0428,8,0.1022,0.3785,0.2624,0.1271,-0.261139989724524
"champ_umbra@2","Umbra, the Mountain's Shadow","cloudy","hybrid",10,2,"champion",252,1644,875,114,70,70,9391.1,0.5322,0.6131,-0.0809,16,0.2778,0.5602,0.5182,0.0712,-0.628089697650101
"champ_umbra@3","Umbra, the Mountain's Shadow","cloudy","hybrid",10,3,"champion",432,2208,1637,269,131,131,9202.2,0.7414,0.9076,-0.1662,64,0.3032,0.7351,0.7024,0.0734,-1.44963326946248
"champ_veilfang_wolf","Veilfang Wolf","mist","assassin",8,1,"champion",234,1296,748,90,78,78,9631.6,0.5772,0.4213,0.1559,5.0397,0.3333,0.6065,0.5694,0.081,1.42739901724822
"champ_veilfang_wolf@2","Veilfang Wolf","mist","assassin",8,2,"champion",258,1488,880,123,56,56,9606.8,0.5914,0.5766,0.0148,10.0794,0.2171,0.5887,0.5726,0.0464,0.0161143613750383
"champ_veilfang_wolf@3","Veilfang Wolf","mist","assassin",8,3,"champion",270,1380,1123.5,196,44,44,8519.6,0.8141,0.8957,-0.0815,40.3175,0.163,0.8304,0.763,0.0761,-0.947079914745354
"champ_veldt_pronghorn","Veldt Pronghorn","clear","warrior",2,1,"champion",114,630,209,28,24,24,8867.2,0.3317,0.2476,0.0841,1.2599,0.2105,0.3238,0,0.1,0.98094611001158
"champ_veldt_pronghorn@2","Veldt Pronghorn","clear","warrior",2,2,"champion",132,792,328.5,46,25,25,8870.4,0.4148,0.303,0.1117,2.5198,0.1894,0.4318,0,0.0682,1.38799400972572
"champ_veldt_pronghorn@3","Veldt Pronghorn","clear","warrior",2,3,"champion",240,1332,716.5,100,60,60,9127.9,0.5379,0.6081,-0.0702,10.0794,0.25,0.5608,0,0.0495,-1.29468761918738
"champ_voltmane_jackal","Voltmane Jackal","thunder","hybrid",7,1,"champion",240,1368,538.5,84,42,42,8625,0.3936,0.5088,-0.1151,4,0.175,0.432,0.4013,0.0811,-1.44827666235603
"champ_voltmane_jackal@2","Voltmane Jackal","thunder","hybrid",7,2,"champion",264,1422,600,84,56,56,8766.5,0.4219,0.3924,0.0295,8,0.2121,0.5021,0.4346,0.1245,0.239797952630763
"champ_voltmane_jackal@3","Voltmane Jackal","thunder","hybrid",7,3,"champion",294,1836,1048,113,104,104,9830.8,0.5708,0.732,-0.1612,32,0.3537,0.6095,0.531,0.0784,-1.98645259424325
"champ_voltscale_mamba","Voltscale Mamba","thunder","warrior",3,1,"champion",264,1380,416.5,40,73,73,8687.7,0.3018,0.4217,-0.1199,1.5874,0.2765,0.3174,0.3174,0.0391,-1.5288398584944
"champ_voltscale_mamba@2","Voltscale Mamba","thunder","warrior",3,2,"champion",354,2148,1065,119,93,93,9011.1,0.4958,0.5726,-0.0768,3.1748,0.2627,0.5545,0.514,0.1034,-1.04273258809347
"champ_voltscale_mamba@3","Voltscale Mamba","thunder","warrior",3,3,"champion",306,1560,598.5,86,72,72,9010,0.3837,0.3077,0.076,12.6992,0.2353,0.3519,0.4135,0.0615,0.680636110682903
"champ_will_o_fawn","Will-o-Fawn","mist","mage",2,1,"champion",138,696,217.5,31,19,19,7960.1,0.3125,0.3966,-0.0841,1.2599,0.1377,0.3405,0.2759,0.0647,-1.4996863802753
"champ_will_o_fawn@2","Will-o-Fawn","mist","mage",2,2,"champion",258,1506,623,41,111,111,9808.2,0.4137,0.4582,-0.0445,2.5198,0.4302,0.4124,0.4821,0.1295,-0.915661132859361
"champ_will_o_fawn@3","Will-o-Fawn","mist","mage",2,3,"champion",330,1728,945,137,85,85,9492.2,0.5469,0.5035,0.0434,10.0794,0.2576,0.5764,0.5677,0.0573,0.380697939056313
"champ_wintermoth","Wintermoth","snow","mage",2,1,"champion",264,1284,476.5,50,80,80,8700.6,0.3711,0.3364,0.0347,1.2599,0.303,0.3598,0.3458,0.0818,0.252389361972509
"champ_wintermoth@2","Wintermoth","snow","mage",2,2,"champion",132,864,259.5,21,49,49,9935.4,0.3003,0.2292,0.0712,2.5198,0.3712,0.2743,0.2708,0.1076,0.790695461232147
"champ_wintermoth@3","Wintermoth","snow","mage",2,3,"champion",342,2016,811,79,105,105,9654.3,0.4023,0.378,0.0243,10.0794,0.307,0.4137,0.3705,0.061,0.099008993964284
"champ_wraithorn_stag","Wraithorn Stag","mist","warrior",6,1,"champion",126,864,319.5,33,36,36,8997.9,0.3698,0.25,0.1198,3.1748,0.2857,0.3611,0.3646,0.0174,2.13679089602539
"champ_wraithorn_stag@2","Wraithorn Stag","mist","warrior",6,2,"champion",162,918,481,60,64,64,9370,0.524,0.5752,-0.0512,6.3496,0.3951,0.5,0.5229,0.049,-0.690731105782868
"champ_wraithorn_stag@3","Wraithorn Stag","mist","warrior",6,3,"champion",258,1374,974,151,76,76,9093.5,0.7089,0.6812,0.0277,25.3984,0.2946,0.7118,0.6638,0.1114,0.613897466981295
"enemy_arcanist","Arcanist","clear","mage",9,1,"enemy",324,1782,699,86,74,74,8952.7,0.3923,0.367,0.0253,6.3496,0.2284,0.3687,0,0.0488,0.424643775242028
"enemy_arcanist@2","Arcanist","clear","mage",9,2,"enemy",258,1452,793,131,43,43,8107.2,0.5461,0.4876,0.0585,12.6992,0.1667,0.5558,0,0.0599,0.744963472406827
"enemy_arcanist@3","Arcanist","clear","mage",9,3,"enemy",96,600,424,73,6,6,6993,0.7067,0.74,-0.0333,50.7968,0.0625,0.69,0,0.05,-0.140739786621142
"enemy_archmagus_imperator","Archmagus Imperator","clear","hybrid",9,1,"enemy",222,1170,444,71,48,48,8737,0.3795,0.3538,0.0256,6.3496,0.2162,0.3615,0,0.0821,0.427538230336891
"enemy_archmagus_imperator@2","Archmagus Imperator","clear","hybrid",9,2,"enemy",96,636,270,30,24,24,8732.7,0.4245,0.5283,-0.1038,12.6992,0.25,0.3915,0,0.0943,-0.820936733913863
"enemy_archmagus_imperator@3","Archmagus Imperator","clear","hybrid",9,3,"enemy",384,2022,1372,221,133,133,9149.7,0.6785,0.7715,-0.093,50.7968,0.3464,0.6721,0,0.0282,-0.716736350498808
"enemy_avalanche_engine","Avalanche Engine","snow","marksman",5,1,"enemy",222,1134,399,45,66,66,9150.7,0.3519,0.3333,0.0185,2.5198,0.2973,0.3095,0.3254,0.1085,0.0569589223381333
"enemy_avalanche_engine@2","Avalanche Engine","snow","marksman",5,2,"enemy",90,468,238,23,38,38,9439.4,0.5085,0.6795,-0.1709,5.0397,0.4222,0.5256,0.5192,0.0833,-1.90790159550828
"enemy_avalanche_engine@3","Avalanche Engine","snow","marksman",5,3,"enemy",366,2022,1356.5,242,48,48,7790.1,0.6709,0.5994,0.0715,20.1587,0.1311,0.6958,0.6231,0.0727,0.606787895125145
"enemy_battlemage","Battlemage","clear","mage",5,1,"enemy",294,1608,690,77,91,91,8690.6,0.4291,0.3843,0.0448,2.5198,0.3095,0.4235,0,0.0522,0.329798582419235
"enemy_battlemage@2","Battlemage","clear","mage",5,2,"enemy",174,1002,445,60,32,32,8415.5,0.4441,0.5389,-0.0948,5.0397,0.1839,0.4371,0,0.0719,-1.11843018363863
"enemy_battlemage@3","Battlemage","clear","mage",5,3,"enemy",312,1866,795,106,67,67,8860.6,0.426,0.5048,-0.0788,20.1587,0.2147,0.4164,0,0.0531,-0.952444078646323
"enemy_blight_lurker","Blight Lurker","rain","warrior",3,1,"enemy",204,1260,535.5,36,89,89,10122.2,0.425,0.3667,0.0583,1.5874,0.4363,0.4167,0.4643,0.0643,0.481005050680666
"enemy_blight_lurker@2","Blight Lurker","rain","warrior",3,2,"enemy",114,720,174,12,39,39,10530.7,0.2417,0.1333,0.1083,3.1748,0.3421,0.1958,0.3125,0.2458,1.04493459870958
"enemy_blight_lurker@3","Blight Lurker","rain","warrior",3,3,"enemy",528,2958,1634,217,186,186,9886.3,0.5524,0.3874,0.165,12.6992,0.3523,0.574,0.5314,0.0751,1.68443070617438
"enemy_brineblight_berserker","Brineblight Berserker","rain","warrior",5,1,"enemy",270,1518,549,85,38,38,8424.7,0.3617,0.2925,0.0692,2.5198,0.1407,0.3676,0.3913,0.0455,0.582927392532501
"enemy_brineblight_berserker@2","Brineblight Berserker","rain","warrior",5,2,"enemy",246,1284,541,67,87,87,10077.5,0.4213,0.4206,8e-04,5.0397,0.3537,0.4369,0.4229,0.0537,-0.126663206309604
"enemy_brineblight_berserker@3","Brineblight Berserker","rain","warrior",5,3,"enemy",180,1044,470,75,37,37,8887.1,0.4502,0.3678,0.0824,20.1587,0.2056,0.4713,0.4511,0.0805,0.719865929151153
"enemy_caged_banshee","Caged Banshee","mist","mage",5,1,"enemy",114,660,116,13,7,7,8643.7,0.1758,0.2091,-0.0333,2.5198,0.0614,0.1591,0.2773,0.1591,-0.480421092574455
"enemy_caged_banshee@2","Caged Banshee","mist","mage",5,2,"enemy",162,798,290,35,48,48,9212.1,0.3634,0.3609,0.0025,5.0397,0.2963,0.3609,0.3947,0.0789,-0.109027182654172
"enemy_caged_banshee@3","Caged Banshee","mist","mage",5,3,"enemy",60,384,200,16,22,22,9797.2,0.5208,0.3438,0.1771,20.1587,0.3667,0.5391,0.3672,0.25,1.70229618807436
"enemy_caged_storm_drake","Caged Storm-Drake","thunder","hybrid",9,1,"enemy",102,708,204,7,50,50,10446.4,0.2881,0.1441,0.1441,6.3496,0.4902,0.3093,0.3305,0.1229,1.57084799280764
"enemy_caged_storm_drake@2","Caged Storm-Drake","thunder","hybrid",9,2,"enemy",288,1602,783,113,57,57,9134.4,0.4888,0.5431,-0.0543,12.6992,0.1979,0.5187,0.5037,0.0431,-0.343351643261527
"enemy_caged_storm_drake@3","Caged Storm-Drake","thunder","hybrid",9,3,"enemy",264,1530,1110,182,52,52,8534.3,0.7255,0.8118,-0.0863,50.7968,0.197,0.7549,0.7294,0.051,-0.652093520046876
"enemy_cannoneer","Cannoneer","clear","marksman",8,1,"enemy",228,1254,678,79,47,47,8390.4,0.5407,0.3828,0.1579,5.0397,0.2061,0.5766,0,0.0933,1.44740305205861
"enemy_cannoneer@2","Cannoneer","clear","marksman",8,2,"enemy",294,1686,1096.5,182,45,45,8653.7,0.6504,0.5587,0.0916,10.0794,0.1531,0.6584,0,0.0569,0.784269298094105
"enemy_cannoneer@3","Cannoneer","clear","marksman",8,3,"enemy",180,930,740.5,130,20,20,7943.4,0.7962,0.671,0.1253,40.3175,0.1111,0.8,0,0.0161,1.12133728464922
"enemy_capture_rig_wolf","Capture-Rig Wolf","thunder","warrior",3,1,"enemy",234,1332,350,50,49,49,8465.9,0.2628,0.3063,-0.0435,1.5874,0.2094,0.2252,0.2432,0.0721,-0.667155509106212
"enemy_capture_rig_wolf@2","Capture-Rig Wolf","thunder","warrior",3,2,"enemy",204,1044,476.5,66,44,44,8632.2,0.4564,0.2989,0.1576,3.1748,0.2157,0.4885,0.4109,0.0776,1.6009691330661
"enemy_capture_rig_wolf@3","Capture-Rig Wolf","thunder","warrior",3,3,"enemy",240,1320,739.5,114,65,65,8892.8,0.5602,0.5136,0.0466,12.6992,0.2708,0.5977,0.5818,0.0909,0.349045536441899
"enemy_cold_iron_yeti","Cold-Iron Yeti","snow","warrior",4,1,"enemy",252,1230,564.5,95,41,41,8447.2,0.4589,0.3463,0.1126,2,0.1627,0.4829,0.4732,0.0829,1.52325864933763
"enemy_cold_iron_yeti@2","Cold-Iron Yeti","snow","warrior",4,2,"enemy",126,822,281,24,32,32,9612.7,0.3418,0.5474,-0.2056,4,0.254,0.3577,0.3212,0.1058,-1.86806504847137
"enemy_cold_iron_yeti@3","Cold-Iron Yeti","snow","warrior",4,3,"enemy",402,2184,1188,141,187,187,10206.3,0.544,0.5302,0.0137,16,0.4652,0.5755,0.5,0.0755,0.469198581099701
"enemy_company_captain","Company Captain","clear","mage",5,1,"enemy",138,828,130.5,6,31,31,8567.6,0.1576,0.1522,0.0054,2.5198,0.2246,0.1268,0,0.1268,-0.0789422011243166
"enemy_company_captain@2","Company Captain","clear","mage",5,2,"enemy",336,1992,689.5,50,90,90,9316.6,0.3461,0.3163,0.0299,5.0397,0.2679,0.3569,0,0.0467,0.175224022145151
"enemy_company_captain@3","Company Captain","clear","mage",5,3,"enemy",210,1080,476.5,34,102,102,10531.1,0.4412,0.5833,-0.1421,20.1587,0.4857,0.4306,0,0.0833,-1.60912660652213
"enemy_company_guard","Company Guard","clear","bruiser",4,1,"enemy",360,1956,858.5,96,95,95,9040.6,0.4389,0.316,0.123,2,0.2639,0.4509,0,0.0859,1.63410015297438
"enemy_company_guard@2","Company Guard","clear","bruiser",4,2,"enemy",270,1518,724,101,65,65,9060.6,0.4769,0.5217,-0.0448,4,0.2407,0.502,0,0.0534,-0.154284876857014
"enemy_company_guard@3","Company Guard","clear","bruiser",4,3,"enemy",186,1050,536,61,70,70,10275.4,0.5105,0.4686,0.0419,16,0.3763,0.5,0,0.0686,0.769749581345502
"enemy_conscript","Conscript","clear","warrior",1,1,"enemy",294,1698,628.5,44,122,122,9556.9,0.3701,0.3322,0.038,1,0.415,0.3905,0,0.0459,0.232628536790025
"enemy_conscript@2","Conscript","clear","warrior",1,2,"enemy",306,1590,751,109,95,95,9752.9,0.4723,0.4755,-0.0031,2,0.3105,0.4604,0,0.0981,-0.237306054285803
"enemy_conscript@3","Conscript","clear","warrior",1,3,"enemy",138,828,415.5,79,10,10,8118.4,0.5018,0.6594,-0.1576,8,0.0725,0.5254,0,0.0543,-2.00384849519129
"enemy_crossbow_levy","Crossbow Levy","clear","marksman",2,1,"enemy",144,780,340,45,33,33,8633.7,0.4359,0.4231,0.0128,1.2599,0.2292,0.3923,0,0.1154,-0.070594297583273
"enemy_crossbow_levy@2","Crossbow Levy","clear","marksman",2,2,"enemy",372,2004,1056.5,148,63,63,8366.9,0.5272,0.4431,0.0841,2.5198,0.1694,0.5374,0,0.0659,0.98094611001158
"enemy_crossbow_levy@3","Crossbow Levy","clear","marksman",2,3,"enemy",294,1632,667.5,112,51,51,8537.3,0.409,0.3787,0.0303,10.0794,0.1735,0.4173,0,0.0257,0.187497667815183
"enemy_drained_stalker","Drained Stalker","mist","mage",4,1,"enemy",252,1446,693,82,51,51,8402.1,0.4793,0.5062,-0.027,2,0.2024,0.5332,0.4876,0.0996,0.035424619752038
"enemy_drained_stalker@2","Drained Stalker","mist","mage",4,2,"enemy",336,1596,610.5,79,72,72,8434.7,0.3825,0.5226,-0.14,4,0.2143,0.3835,0.3778,0.0132,-1.1689109486088
"enemy_drained_stalker@3","Drained Stalker","mist","mage",4,3,"enemy",246,1416,801.5,100,61,61,8728.9,0.566,0.6525,-0.0865,16,0.248,0.5551,0.5297,0.0614,-0.598716675092826
"enemy_dredge_hulk","Dredge-Hulk","rain","bruiser",7,1,"enemy",132,798,520,48,55,55,10055.1,0.6516,0.8045,-0.1529,4,0.4167,0.6466,0.5865,0.1391,-1.88955757830694
"enemy_dredge_hulk@2","Dredge-Hulk","rain","bruiser",7,2,"enemy",222,1104,615.5,95,84,84,9889.8,0.5575,0.5217,0.0358,8,0.3784,0.5489,0.5652,0.0598,0.313344771955913
"enemy_dredge_hulk@3","Dredge-Hulk","rain","bruiser",7,3,"enemy",336,1890,1243.5,151,167,167,10309.7,0.6579,0.6984,-0.0405,32,0.497,0.7095,0.6159,0.0968,-0.577388928759803
"enemy_drowned_siren","Drowned Siren","rain","mage",4,1,"enemy",192,1116,283.5,19,48,48,8823.2,0.254,0.4194,-0.1653,2,0.25,0.2554,0.2231,0.0538,-1.43855422187896
"enemy_drowned_siren@2","Drowned Siren","rain","mage",4,2,"enemy",468,2424,787,105,66,66,8132.2,0.3247,0.297,0.0276,4,0.141,0.3416,0.3181,0.0532,0.617342513844972
"enemy_drowned_siren@3","Drowned Siren","rain","mage",4,3,"enemy",252,1386,608.5,62,95,95,9885.5,0.439,0.4416,-0.0025,16,0.377,0.5043,0.4545,0.1407,0.296541623511688
"enemy_field_chaplain","Field Chaplain","clear","mage",3,1,"enemy",288,1668,616,59,100,100,9318.6,0.3693,0.3489,0.0204,1.5874,0.3472,0.3651,0,0.0737,0.0535464532747459
"enemy_field_chaplain@2","Field Chaplain","clear","mage",3,2,"enemy",270,1524,866.5,132,50,50,8685.8,0.5686,0.563,0.0056,3.1748,0.1852,0.5906,0,0.0551,-0.113376692941814
"enemy_field_chaplain@3","Field Chaplain","clear","mage",3,3,"enemy",390,2124,900,83,151,151,9714.5,0.4237,0.4294,-0.0056,12.6992,0.3872,0.4322,0,0.0636,-0.239696911700292
"enemy_field_medic","Field Medic","clear","mage",2,1,"enemy",198,1026,376.5,44,60,60,8705.4,0.367,0.3684,-0.0015,1.2599,0.303,0.3538,0,0.0877,-0.281492303594583
"enemy_field_medic@2","Field Medic","clear","mage",2,2,"enemy",222,1254,359,39,49,49,8919.7,0.2863,0.1962,0.0901,2.5198,0.2207,0.2871,0,0.055,1.06943478386248
"enemy_field_medic@3","Field Medic","clear","mage",2,3,"enemy",198,1140,725.5,73,71,71,8975.1,0.6364,0.7316,-0.0952,10.0794,0.3586,0.6316,0,0.0395,-1.66339042689946
"enemy_flood_tyrant","Flood Tyrant","rain","hybrid",10,1,"enemy",318,1602,808,121,72,72,8611,0.5044,0.4232,0.0811,8,0.2264,0.4738,0.5056,0.0637,0.93216890297834
"enemy_flood_tyrant@2","Flood Tyrant","rain","hybrid",10,2,"enemy",102,570,358,53,19,19,8424.2,0.6281,0.4105,0.2175,16,0.1863,0.5842,0.6368,0.0526,2.24586811980377
"enemy_flood_tyrant@3","Flood Tyrant","rain","hybrid",10,3,"enemy",252,1356,995,160,67,67,8992,0.7338,0.8673,-0.1335,64,0.2659,0.7987,0.7235,0.1438,-1.13469218155785
"enemy_frost_sovereign","Frost Sovereign","snow","hybrid",10,1,"enemy",192,1020,540.5,35,116,116,10903.5,0.5299,0.3941,0.1358,8,0.6042,0.5147,0.55,0.0882,1.45899696133868
"enemy_frost_sovereign@2","Frost Sovereign","snow","hybrid",10,2,"enemy",138,798,518.5,75,31,31,9702.1,0.6497,0.6992,-0.0495,16,0.2246,0.6278,0.6541,0.0677,-0.325669203454218
"enemy_frost_sovereign@3","Frost Sovereign","snow","hybrid",10,3,"enemy",150,894,607,93,32,32,9262.5,0.679,0.6174,0.0615,64,0.2133,0.6678,0.6913,0.0302,0.743396874754158
"enemy_glacier_goliath","Glacier Goliath","snow","warrior",7,1,"enemy",114,594,238,22,54,54,10430.6,0.4007,0.3737,0.0269,4,0.4737,0.404,0.3737,0.1111,0.209445297036256
"enemy_glacier_goliath@2","Glacier Goliath","snow","warrior",7,2,"enemy",228,1326,695.5,73,89,89,9951.1,0.5245,0.5249,-4e-04,8,0.3904,0.5452,0.4864,0.0611,-0.109257586706065
"enemy_glacier_goliath@3","Glacier Goliath","snow","warrior",7,3,"enemy",276,1410,906,109,161,161,10540.1,0.6426,0.617,0.0255,32,0.5833,0.6468,0.6787,0.0872,0.193101559408445
"enemy_grand_marshal","Grand Marshal","clear","warrior",10,1,"enemy",228,1266,704.5,100,43,43,8794.3,0.5565,0.5782,-0.0217,8,0.1886,0.5284,0,0.0924,-0.057921122605634
"enemy_grand_marshal@2","Grand Marshal","clear","warrior",10,2,"enemy",300,1782,1240,180,57,57,9093.4,0.6958,0.6768,0.0191,16,0.19,0.6953,0,0.0303,0.335032895330418
"enemy_grand_marshal@3","Grand Marshal","clear","warrior",10,3,"enemy",198,1038,988.5,180,18,18,7670.2,0.9523,0.9827,-0.0303,64,0.0909,0.9509,0,0.0087,-0.140749665601959
"enemy_gunslinger","Gunslinger","clear","marksman",5,1,"enemy",192,1128,471.5,47,51,51,8835.7,0.418,0.3564,0.0616,2.5198,0.2656,0.4122,0,0.0505,0.504083992661156
"enemy_gunslinger@2","Gunslinger","clear","marksman",5,2,"enemy",180,1002,424,59,36,36,9538.8,0.4232,0.4371,-0.014,5.0397,0.2,0.4162,0,0.0719,-0.280200353427487
"enemy_gunslinger@3","Gunslinger","clear","marksman",5,3,"enemy",228,1428,949.5,134,56,56,9126.8,0.6649,0.5336,0.1313,20.1587,0.2456,0.6555,0,0.084,1.22716096253389
"enemy_heavy_knight","Heavy Knight","clear","warrior",4,1,"enemy",240,1530,982,103,95,95,9588.8,0.6418,0.6431,-0.0013,2,0.3958,0.6569,0,0.0863,0.309331027777467
"enemy_heavy_knight@2","Heavy Knight","clear","warrior",4,2,"enemy",252,1494,868.5,89,91,91,9618.2,0.5813,0.4177,0.1637,4,0.3611,0.5924,0,0.0241,2.06787411432205
"enemy_heavy_knight@3","Heavy Knight","clear","warrior",4,3,"enemy",282,1734,944,108,115,115,10201.8,0.5444,0.5779,-0.0334,16,0.4078,0.5606,0,0.0519,-0.0327855363321154
"enemy_hexblade_officer","Hexblade Officer","clear","assassin",6,1,"enemy",240,1470,668,80,67,67,9185.6,0.4544,0.5265,-0.0721,3.1748,0.2792,0.449,0,0.0633,-1.0363171282261
"enemy_hexblade_officer@2","Hexblade Officer","clear","assassin",6,2,"enemy",366,1770,877.5,108,118,118,9405.4,0.4958,0.4508,0.0449,6.3496,0.3224,0.4949,0,0.0475,0.898303188800605
"enemy_hexblade_officer@3","Hexblade Officer","clear","assassin",6,3,"enemy",252,1338,870,101,127,127,10261.5,0.6502,0.704,-0.0538,25.3984,0.504,0.6771,0,0.0717,-0.733722668383462
"enemy_hierarch","Hierarch","clear","mage",8,1,"enemy",96,558,218,28,10,10,8339.6,0.3907,0.3871,0.0036,5.0397,0.1042,0.3978,0,0.0753,-0.0959082335631589
"enemy_hierarch@2","Hierarch","clear","mage",8,2,"enemy",192,1194,623,55,111,111,10816.4,0.5218,0.4271,0.0946,10.0794,0.5781,0.5226,0,0.0804,0.814275350309694
"enemy_hierarch@3","Hierarch","clear","mage",8,3,"enemy",240,1434,978.5,91,138,138,10886.6,0.6824,0.9038,-0.2214,40.3175,0.575,0.6862,0,0.0481,-2.3463621497323
"enemy_hollowed_wisp","Hollowed Wisp","mist","assassin",3,1,"enemy",156,936,226,15,33,33,8681.8,0.2415,0.3782,-0.1368,1.5874,0.2115,0.25,0.2372,0.0769,-1.71944804572817
"enemy_hollowed_wisp@2","Hollowed Wisp","mist","assassin",3,2,"enemy",192,1158,329.5,40,33,33,8170.1,0.2845,0.3368,-0.0522,3.1748,0.1719,0.3083,0.2902,0.0648,-0.765279250463244
